approveDate,articleID,articleWordCount,commentID,commentType,createDate,depth,editorsSelection,inReplyTo,parentUserDisplayName,recommendations,sectionName,userDisplayName,userID,userLocation
1491245186,58def1347c459f24986d7c80,716.0,22022598.0,comment,1491237056.0,1,False,0,,2.0,Unknown,Rob Gayle,46006296,"Riverside, CA"
1491188619,58def1347c459f24986d7c80,716.0,22017350.0,comment,1491180489.0,1,False,0,,1.0,Unknown,Susan A.,29202761,<br/>
1491188617,58def1347c459f24986d7c80,716.0,22017334.0,comment,1491179470.0,1,False,0,,3.0,Unknown,Meta,63944806,Raleigh NC
1491167820,58def1347c459f24986d7c80,716.0,22015913.0,comment,1491150196.0,1,False,0,,7.0,Unknown,Tom Wyrick,1266184,"Missouri, USA"
1491167815,58def1347c459f24986d7c80,716.0,22015466.0,comment,1491147284.0,1,False,0,,5.0,Unknown,Joe Sharkey,61121360,"Tucson, Arizona"
1491142576,58def1347c459f24986d7c80,716.0,22012085.0,comment,1491128692.0,1,False,0,,8.0,Unknown,dramaman,59125002,new york
1491060909,58def1347c459f24986d7c80,716.0,22003784.0,comment,1491056012.0,1,False,0,,9.0,Unknown,Bob Williams,320791,"East Northport, NY"
1491252241,58def1347c459f24986d7c80,716.0,22024897.0,userReply,1491247899.0,2,False,22015913,Tom Wyrick,1.0,Unknown,Alisha G,65289571,"Tahoma, CA"
1491668599,58def1347c459f24986d7c80,716.0,22082978.0,userReply,1491665056.0,2,False,22015913,Tom Wyrick,0.0,Unknown,Kathy Mortensen,76442479,Ann Arbor
1491064414,58def3237c459f24986d7c84,823.0,22004930.0,comment,1491061051.0,1,False,0,,60.0,Unknown,Gaucho54,59237391,California
1491064399,58def3237c459f24986d7c84,823.0,22005135.0,comment,1491061867.0,1,False,0,,96.0,Unknown,Agent 86,55747814,"Oxford, Mississippi"
1491064392,58def3237c459f24986d7c84,823.0,22004841.0,comment,1491060736.0,1,False,0,,61.0,Unknown,N. Smith,64679318,New York City
1491064381,58def3237c459f24986d7c84,823.0,22005149.0,comment,1491061913.0,1,False,0,,154.0,Unknown,Cordelia28,8542342,"Astoria, OR"
1491064377,58def3237c459f24986d7c84,823.0,22004746.0,comment,1491060401.0,1,False,0,,178.0,Unknown,C. Morris,29602765,Idaho
1491064358,58def3237c459f24986d7c84,823.0,22005218.0,comment,1491062203.0,1,False,0,,134.0,Unknown,Michael,15773758,"Richmond, VA"
1491064351,58def3237c459f24986d7c84,823.0,22005228.0,comment,1491062243.0,1,False,0,,91.0,Unknown,"Andrew G. Bjelland, Sr.",58063917,"Salt Lake City, Utah"
1491064317,58def3237c459f24986d7c84,823.0,22004632.0,comment,1491059984.0,1,False,0,,134.0,Unknown,Bob Laughlin,42128569,Denver
1491064312,58def3237c459f24986d7c84,823.0,22004617.0,comment,1491059913.0,1,False,0,,33.0,Unknown,r. mackinnon,64702728,"concord, MA"
1491063880,58def3237c459f24986d7c84,823.0,22004589.0,comment,1491059795.0,1,False,0,,57.0,Unknown,Ken,6407662,"The Woodlands, Texas"
1491063877,58def3237c459f24986d7c84,823.0,22004546.0,comment,1491059587.0,1,False,0,,128.0,Unknown,trueblue,22178100,KY
1491062756,58def3237c459f24986d7c84,823.0,22004815.0,comment,1491060630.0,1,False,0,,168.0,Unknown,rlmullaney,61116551,memphis tn
